2505.15347	200	229787
2602.22603	200	241774
2509.17396	200	451662
2607.21604	200	548737
2506.02634	200	258306
2603.08743	200	295816
2605.18825	200	384899
2609.03494	200	391863
2608.23658	200	77964
2601.21927	200	348216
2607.08032	200	681711
2510.18672	200	506976
2608.00902	200	326184
2601.14279	200	172071
2608.20397	200	322890
2606.04557	200	419349
2605.09490	200	320084
2609.11744	200	327629
2608.14624	200	288546
2604.25899	200	318514
2607.27187	404	7901
2608.25683	200	238132
2609.02027	200	871146
