depth,gamma,ctx,tok_s,accepted_len
1,1,4096,84.01858415651797,0.25953411667697385
1,3,4096,91.11890739370654,0.3339145597210113
1,7,4096,86.65960051283695,0.32509752925877766
3,1,4096,91.44260202064159,0.47643219724437996
3,3,4096,108.64474298545757,0.7360204371274481
3,7,4096,111.55430037919962,0.7644854424906313
5,1,4096,98.50353014420746,0.7243716464275628
5,3,4096,136.89394411960083,1.455706304868316
5,7,4096,157.43213685992876,1.8461182994454712
1,1,32768,26.39762977747419,0.25149651496514963
1,3,32768,27.807086413533714,0.32843988881167474
1,7,32768,23.926542846552397,0.32283191968149555
3,1,32768,29.434755158594342,0.46409051682807556
3,3,32768,33.25386384779576,0.7211106115107914
3,7,32768,28.12449065135858,0.7542994725980279
5,1,32768,27.023952468962367,0.6993769470404985
5,3,32768,31.352978459875512,1.3532741738066094
5,7,32768,33.15589009738378,1.6714038128249566
